policy,traffic_scenario,load_name,episodes,accepted,blocking_rate,reward,energy,fragmentation,qot,policy_name
ksp-bm-ff,bursty,high,5,481.4,0.3581333333333333,0.5537295999397933,562.3073972152599,0.3803422784745326,0.25796889256309397,KSP-BM-FF
ksp-bm-ff,bursty,low,5,617.8,0.17626666666666663,0.746145013226519,600.3054518816313,0.32243802134599553,0.2556223932998346,KSP-BM-FF
ksp-bm-ff,bursty,medium,5,546.2,0.27173333333333327,0.645674239927421,580.4870240883622,0.36522855287266137,0.25504288628115723,KSP-BM-FF
ksp-bm-ff,bursty,overload,5,407.8,0.4562666666666666,0.44840058662370835,534.9275329130375,0.3962687727295564,0.26662996256411037,KSP-BM-FF
ksp-bm-ff,hotspot,high,5,484.6,0.35386666666666666,0.5669145066144765,518.1794003757766,0.4097736325350153,0.2668249440509783,KSP-BM-FF
ksp-bm-ff,hotspot,low,5,622.0,0.17066666666666663,0.7626311999061505,553.3956655765338,0.3643498486419059,0.2646147061450518,KSP-BM-FF
ksp-bm-ff,hotspot,medium,5,559.0,0.2546666666666666,0.6729610132672688,536.4047644561575,0.39691133735672157,0.27031083228644126,KSP-BM-FF
ksp-bm-ff,hotspot,overload,5,404.0,0.4613333333333333,0.4512243199600875,482.62409705892935,0.41890493062309186,0.2722701863635368,KSP-BM-FF
ksp-bm-ff,nonuniform,high,5,423.0,0.43599999999999994,0.46678501328562694,574.0788586234802,0.3976918425054766,0.26688327930154554,KSP-BM-FF
ksp-bm-ff,nonuniform,low,5,576.2,0.2317333333333333,0.6806147198976974,640.3957546297871,0.3398366720073643,0.257600755762709,KSP-BM-FF
ksp-bm-ff,nonuniform,medium,5,500.0,0.3333333333333333,0.574696533256938,603.7546148106348,0.36049962784070916,0.26578458207495165,KSP-BM-FF
ksp-bm-ff,nonuniform,overload,5,354.2,0.5277333333333333,0.367692053290834,559.022683706719,0.384356677244174,0.2651476497524456,KSP-BM-FF
ksp-bm-ff,uniform,high,5,475.4,0.3661333333333333,0.5445450666122038,556.889000745465,0.39704567317346284,0.2607127199513729,KSP-BM-FF
ksp-bm-ff,uniform,low,5,637.4,0.15013333333333329,0.7747156265754402,601.0037768069656,0.3433432060407381,0.2552730673073958,KSP-BM-FF
